Provinsi,Tingkat Pengangguran Terbuka (TPT) - Februari,Tingkat Pengangguran Terbuka (TPT) - Agustus,Tingkat Partisipasi Angkatan Kerja (TPAK) - Februari,Tingkat Partisipasi Angkatan Kerja (TPAK) - Agustus,Tahun,Indeks Pembangunan Manusia,Rata-rata Lama Sekolah
MALUKU UTARA,4.98,3.98,66.71,64.88,2022,69.47,9.24
PAPUA BARAT,5.78,5.37,69.59,68.55,2022,65.16,7.84
PAPUA,3.6,2.83,80.23,77.75,2022,71.76,7.02
INDONESIA,5.83,5.86,69.06,68.63,2022,72.91,8.69
ACEH,5.75,6.03,65.12,64.77,2023,73.4,9.55
SUMATERA UTARA,5.24,5.89,70.6,71.06,2023,73.37,9.82
SUMATERA BARAT,5.9,5.94,69.96,69.61,2023,73.75,9.28
RIAU,4.25,4.23,65.18,64.45,2023,74.04,9.32
JAMBI,4.5,4.53,67.88,68.75,2023,72.77,8.81
SUMATERA SELATAN,4.53,4.11,69.73,70.72,2023,71.62,8.5
BENGKULU,3.21,3.42,72.72,70.91,2023,72.78,9.03
LAMPUNG,4.18,4.23,72.07,70.04,2023,71.15,8.29
KEP. BANGKA BELITUNG,3.89,4.56,70.33,68.34,2023,72.85,8.25
KEP. RIAU,7.61,6.8,67.29,68.68,2023,77.11,10.41
DKI JAKARTA,7.57,6.53,63.07,65.21,2023,82.46,11.45
JAWA BARAT,7.89,7.44,66.75,66.49,2023,73.74,8.83
JAWA TENGAH,5.24,5.13,72.33,71.72,2023,73.39,8.01
DI YOGYAKARTA,3.58,3.69,73.43,74.08,2023,81.07,9.83
JAWA TIMUR,4.33,4.88,71.5,72.56,2023,73.38,8.11
BANTEN,7.97,7.52,65.94,64.44,2023,73.87,9.15
BALI,3.73,2.69,77.19,77.08,2023,77.1,9.45
NUSA TENGGARA BARAT,3.73,2.8,71.16,73.31,2023,70.2,7.74
NUSA TENGGARA TIMUR,3.1,3.14,74.51,75.72,2023,66.68,7.82
KALIMANTAN BARAT,4.52,5.05,68.45,69.42,2023,69.41,7.71
KALIMANTAN TENGAH,3.84,4.1,68.76,67.18,2023,72.2,8.73
KALIMANTAN SELATAN,3.95,4.31,69.53,69.76,2023,72.5,8.55
KALIMANTAN TIMUR,6.37,5.31,65.66,65.57,2023,78.2,9.99
KALIMANTAN UTARA,4.1,4.01,67.03,70.35,2023,72.49,9.34
SULAWESI UTARA,6.19,6.1,63.31,64.09,2023,74.36,9.77
